Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
5,B,1,B1,95,2,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
2,C,1,C1,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
6,D,1,D1,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
3,E,1,E1,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
7,F,1,F1,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
4,G,1,G1,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
8,H,1,H1,95,2,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
9,A,2,A2,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
13,B,2,B2,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
10,C,2,C2,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
14,D,2,D2,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
11,E,2,E2,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
15,F,2,F2,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
12,G,2,G2,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
16,H,2,H2,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
17,A,3,A3,95,2,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
21,B,3,B3,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
18,C,3,C3,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
22,D,3,D3,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
19,E,3,E3,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
23,F,3,F3,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
20,G,3,G3,95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
24,H,3,H3,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
25,A,4,A4,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
29,B,4,B4,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
26,C,4,C4,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
30,D,4,D4,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
27,E,4,E4,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
31,F,4,F4,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
28,G,4,G4,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
32,H,4,H4,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
33,A,5,A5,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
37,B,5,B5,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
34,C,5,C5,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
38,D,5,D5,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
35,E,5,E5,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
39,F,5,F5,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
36,G,5,G5,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
40,H,5,H5,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
41,A,6,A6,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
45,B,6,B6,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
42,C,6,C6,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
46,D,6,D6,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
43,E,6,E6,95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
47,F,6,F6,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
44,G,6,G6,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
48,H,6,H6,95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,,
