Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
2,C,1,C1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
3,E,1,E1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
4,G,1,G1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
5,B,1,B1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
6,D,1,D1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
7,F,1,F1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
8,H,1,H1,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
9,A,2,A2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
10,C,2,C2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
11,E,2,E2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
12,G,2,G2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
13,B,2,B2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
14,D,2,D2,69,3,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
15,F,2,F2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
16,H,2,H2,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
17,A,3,A3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
18,C,3,C3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
19,E,3,E3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
20,G,3,G3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
21,B,3,B3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
22,D,3,D3,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
23,F,3,F3,69,3,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
24,H,3,H3,69,2,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
25,A,4,A4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
26,C,4,C4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
27,E,4,E4,69,2,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
28,G,4,G4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
29,B,4,B4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
30,D,4,D4,69,2,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
31,F,4,F4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
32,H,4,H4,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
33,A,5,A5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
34,C,5,C5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
35,E,5,E5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
36,G,5,G5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
37,B,5,B5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
38,D,5,D5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
39,F,5,F5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
40,H,5,H5,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
41,A,6,A6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
42,C,6,C6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
43,E,6,E6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
44,G,6,G6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
45,B,6,B6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
46,D,6,D6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
47,F,6,F6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
48,H,6,H6,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
49,A,7,A7,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
50,C,7,C7,69,1,,,originalstudy_LinearMarch_1,LianaAlves_0,Associated with original work from LIana Alves,
