Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,110,1,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
5,B,1,B1,110,1,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
2,C,1,C1,110,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
6,D,1,D1,110,4,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
3,E,1,E1,110,1,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
7,F,1,F1,110,2,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
4,G,1,G1,110,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
8,H,1,H1,110,3,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
9,A,2,A2,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
13,B,2,B2,110,3,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
10,C,2,C2,110,4,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
14,D,2,D2,110,2,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
11,E,2,E2,110,1,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
15,F,2,F2,110,3,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
12,G,2,G2,110,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
16,H,2,H2,110,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
17,A,3,A3,110,3,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
21,B,3,B3,110,2,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
18,C,3,C3,110,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
22,D,3,D3,110,2,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
19,E,3,E3,110,1,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
23,F,3,F3,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Predictions for the Ethyl amine - From Alex Cristofaro - 2018-09-13T14_00_50.063786+00_00_LBL,
