Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,70,1,53858,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
2,C,1,C1,70,3,34910,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
3,E,1,E1,70,1,65044,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
4,G,1,G1,70,1,54308,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
5,B,1,B1,70,2,44565,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
6,D,1,D1,70,1,28057,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
7,F,1,F1,70,1,79750,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
8,H,1,H1,70,4,23304,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
9,A,2,A2,70,1,13159,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
10,C,2,C2,70,1,30272,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
11,E,2,E2,70,1,47728,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
12,G,2,G2,70,1,36464,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
13,B,2,B2,70,2,17658,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
14,D,2,D2,70,1,49361,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
15,F,2,F2,70,1,58164,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
16,H,2,H2,70,1,88976,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
17,A,3,A3,70,4,3455,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
18,C,3,C3,70,1,71750,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
19,E,3,E3,70,1,5610,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
20,G,3,G3,70,1,16410,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
21,B,3,B3,70,3,52013,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
22,D,3,D3,70,1,91487,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
23,F,3,F3,70,1,71097,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
24,H,3,H3,70,2,25784,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
25,A,4,A4,70,1,96339,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
26,C,4,C4,70,1,18447,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
27,E,4,E4,70,1,98315,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
28,G,4,G4,70,3,12726,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
29,B,4,B4,70,1,57477,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
30,D,4,D4,70,1,98172,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
31,F,4,F4,70,2,17867,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
32,H,4,H4,70,1,30185,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
33,A,5,A5,70,1,11448,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
34,C,5,C5,70,1,73147,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
35,E,5,E5,70,1,3515,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
36,G,5,G5,70,1,14623,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
37,B,5,B5,70,1,66456,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
38,D,5,D5,70,1,58572,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
39,F,5,F5,70,3,39996,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
40,H,5,H5,70,3,85842,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
41,A,6,A6,70,1,53188,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
42,C,6,C6,70,1,18222,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
43,E,6,E6,70,1,29194,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
44,G,6,G6,70,1,47354,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
45,B,6,B6,70,1,13746,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
46,D,6,D6,70,1,31640,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
47,F,6,F6,70,1,57105,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
48,H,6,H6,70,1,97718,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
49,A,7,A7,70,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
50,C,7,C7,70,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
51,E,7,E7,70,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
52,G,7,G7,70,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
53,B,7,B7,70,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
54,D,7,D7,70,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
55,F,7,F7,70,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
