Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
2,C,1,C1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
3,E,1,E1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
4,G,1,G1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
5,B,1,B1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
6,D,1,D1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
7,F,1,F1,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
8,H,1,H1,ESCALATE quasirandom (density focused by expert guidance),95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
9,A,2,A2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
10,C,2,C2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
11,E,2,E2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
12,G,2,G2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
13,B,2,B2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
14,D,2,D2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
15,F,2,F2,ESCALATE quasirandom (density focused by expert guidance),95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
16,H,2,H2,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
17,A,3,A3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
18,C,3,C3,ESCALATE quasirandom (density focused by expert guidance),95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
19,E,3,E3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
20,G,3,G3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
21,B,3,B3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
22,D,3,D3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
23,F,3,F3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
24,H,3,H3,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
25,A,4,A4,7-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
