,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,detailed_observations,class_probability
1,A,1,A1,Piperdinium CP Extension Work,,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
2,B,1,B1,Piperdinium CP Extension Work,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"very small crystals, needle like, yellow orange, translucent",
3,C,1,C1,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
4,D,1,D1,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
5,E,1,E1,Piperdinium CP Extension Work,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,"2-3 mm long needle crystals, yellow, translucent",
6,F,1,F1,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
7,G,1,G1,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
8,H,1,H1,Piperdinium CP Extension Work,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,"3-4 mm long needle crystals, yellow, translucent",
9,A,2,A2,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
10,B,2,B2,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
11,C,2,C2,Piperdinium CP Extension Work,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"trace amounts of 2-3 mm needle crystals, yellow, translucent",
12,D,2,D2,Piperdinium CP Extension Work,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"very small needle like crystals, yellow, translucent",
13,E,2,E2,Piperdinium CP Extension Work,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"small amounts of needle like crystals, yellow, translucent",
14,F,2,F2,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
15,G,2,G2,Piperdinium CP Extension Work,,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
