Compound,_feat_heteroaromaticringcount_std,_feat_aliphaticatomcount_std,_feat_asa+_std,_feat_asap_std,_feat_asah_std,_feat_asa-_std,_feat_asa_std,_feat_asavdwp_std,_feat_hdonorcount_std,_feat_hacceptorcount_std,_feat_protpsa_std,_feat_minimalprojectionsize_std,_feat_maximalprojectionsize_std,_feat_donsitecount_std,_feat_accsitecount_std,_feat_vanderwaalsvolume_std,_feat_maximalprojectionradius_std,_feat_minimalprojectionradius_std,_feat_maximalprojectionarea_std,_feat_minimalprojectionarea_std,_feat_wienerpolarity_std,_feat_wienerindex_std,_feat_hyperwienerindex_std,_feat_cyclomaticnumber_std,_feat_balabanindex_std,_feat_rotatablebondcount_std,_feat_heteroaliphaticringcount_std,_feat_largestringsize_std,_feat_smallestringsize_std,_feat_ringatomcount_std,_feat_chiralcentercount_std,_feat_chainatomcount_std,_feat_carboringcount_std,_feat_carboaromaticringcount_std,_feat_carboaliphaticringcount_std,_feat_bondcount_std,_feat_aromaticatomcount_std,_feat_aromaticringcount_std,_feat_aliphaticringcount_std,_feat_refractivity_std,_feat_molpol_std,_feat_avgpol_std,_feat_atomcount_n_std,_feat_atomcount_c_std,_feat_organoammoniummolecularweight_std
[NH3+]CCC1=CC=CC=C1,0,3,218.15,48.41,256.14,86.4,304.55,217.67,1,0,27.64,10.13,5.96,3,0,130.2,5.03,3.37,46.76,24.96,8,94,203,1,1.85,2,0,6,6,6,0,3,1,1,0,21,6,1,0,50.58,15.43,14.69,1,8,122.19
CCCC[NH3+],0,5,202.99,48.89,225.09,70.99,273.98,173.44,1,0,27.64,9.15,5.42,3,0,93.45,4.57,2.69,34.38,18.77,2,20,35,0,2.19,2,0,0,0,0,0,5,0,0,0,16,0,0,0,35.09,9.57,10.0,1,4,74.146
CC[NH3+],0,3,154.04,50.92,164.65,61.53,215.57,112.02,1,0,27.64,6.59,5.17,3,0,59.49,3.3,2.59,22.85,17.09,0,4,5,0,1.63,0,0,0,0,0,0,3,0,0,0,10,0,0,0,25.96,5.88,6.09,1,2,46.092
C[NH3+],0,2,136.92,61.9,129.54,54.52,191.44,81.16,1,0,27.64,4.81,5.08,3,0,42.58,2.67,2.33,17.05,13.88,0,1,1,0,1.0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,21.21,4.04,4.23,1,1,32.065
NC(N)=[NH2+],0,4,120.89,115.82,69.53,64.46,185.35,95.68,3,2,77.63,6.29,3.59,6,2,57.06,3.14,3.01,25.66,15.91,0,9,12,0,2.32,0,0,0,0,0,0,4,0,0,0,9,0,0,0,26.66,5.89,5.94,3,1,60.07899999999999
CC(N)=[NH2+],0,4,172.93,72.7,139.66,39.44,212.36,110.9,2,1,51.61,6.02,4.26,4,1,62.84,3.23,3.14,26.37,17.01,0,9,12,0,2.32,0,0,0,0,0,0,4,0,0,0,10,0,0,0,27.86,6.57,6.58,2,2,59.091
[NH3+]C=N,0,3,123.82,112.55,63.83,52.57,176.39,78.12,2,1,51.61,5.69,3.88,4,1,47.38,3.09,2.41,19.81,13.66,0,4,5,0,1.63,0,0,0,0,0,0,3,0,0,0,7,0,0,0,33.86,4.77,4.65,2,1,45.06399999999999
[NH2+]1C=CN=C1,0,5,172.41,66.17,106.24,0.0,172.41,90.74,2,1,26.0,6.06,4.07,2,1,62.81,3.18,2.91,25.56,17.26,0,15,20,1,1.67,0,1,5,5,5,0,0,0,0,0,10,0,0,1,30.65,7.48,6.95,2,3,69.086
[NH3+]CC1=CC=CC=C1,0,2,196.91,45.88,227.04,76.01,272.92,186.95,1,0,27.64,9.2,5.0,3,0,113.17,4.68,3.52,42.12,24.65,7,64,122,1,2.13,1,0,6,6,6,0,2,1,1,0,18,6,1,0,45.82,13.66,12.63,1,7,108.163
CC(C)(C)C[NH3+],0,6,195.11,36.88,217.8,59.57,254.69,207.49,1,0,27.64,7.87,6.2,3,0,110.9,3.96,3.38,34.29,27.08,3,28,44,0,3.17,1,0,0,0,0,0,6,0,0,0,19,0,0,0,39.35,11.42,11.59,1,5,88.17299999999999
CC(C)[NH3+],0,4,167.58,42.08,184.98,59.48,227.06,141.67,1,0,27.64,6.58,5.24,3,0,76.57,3.36,3.16,28.47,21.99,0,9,12,0,2.32,0,0,0,0,0,0,4,0,0,0,13,0,0,0,30.38,7.73,7.93,1,3,60.119
CC(C)C[NH3+],0,5,189.82,42.54,205.51,58.23,248.05,172.19,1,0,27.64,7.79,5.27,3,0,93.65,3.96,3.12,34.13,22.47,2,18,28,0,2.54,1,0,0,0,0,0,5,0,0,0,16,0,0,0,34.96,9.57,9.83,1,4,74.146
C[NH2+]C,0,3,159.01,30.9,197.63,69.52,228.53,116.23,1,0,16.61,6.54,5.05,2,0,60.05,3.3,2.61,22.94,16.67,0,4,5,0,1.63,0,0,0,0,0,0,3,0,0,0,10,0,0,0,26.11,5.88,6.09,1,2,46.092
CCCCCCCCCCCC[NH3+],0,13,398.73,42.78,481.73,125.78,524.51,417.97,1,0,27.64,19.06,7.19,3,0,229.29,9.65,4.07,80.65,32.95,10,364,1365,0,2.76,10,0,0,0,0,0,13,0,0,0,40,0,0,0,71.89,24.35,26.67,1,12,186.362
C1CC[NH2+]C1,0,5,186.73,25.7,193.62,32.59,219.32,149.69,1,0,16.61,6.42,6.13,2,0,82.42,3.17,3.23,28.06,22.96,0,15,20,1,1.67,0,1,5,5,5,0,0,0,0,0,15,0,0,1,33.65,8.83,8.95,1,4,72.13
[NH3+]CC[NH3+],0,4,191.47,97.45,111.65,17.63,209.1,131.32,2,0,55.28,7.75,5.1,6,0,73.86,3.88,2.69,28.03,17.79,1,10,15,0,1.97,1,0,0,0,0,0,4,0,0,0,13,0,0,0,40.45,7.34,7.76,2,2,62.115
COC1=CC=C([NH3+])C=C1,0,3,244.72,70.65,242.32,68.26,312.97,204.29,1,1,36.87,10.11,5.59,3,2,122.32,5.09,3.45,45.96,24.08,9,90,187,1,1.94,1,0,6,6,6,0,3,1,1,0,19,6,1,0,47.45,14.28,13.7,1,7,124.162
[NH3+]CCC[NH3+],0,5,197.61,98.31,142.53,43.22,240.84,162.05,2,0,55.28,8.91,5.16,6,0,90.86,4.51,2.89,33.72,19.68,2,20,35,0,2.19,2,0,0,0,0,0,5,0,0,0,16,0,0,0,45.32,9.18,9.74,2,3,76.142
CCC[NH3+],0,4,177.81,49.49,193.89,65.57,243.38,142.9,1,0,27.64,7.6,5.19,3,0,76.51,3.94,2.71,28.68,18.32,1,10,15,0,1.97,1,0,0,0,0,0,4,0,0,0,13,0,0,0,30.48,7.73,8.03,1,3,60.119
CC(C)CC[NH3+],0,6,215.08,48.24,234.42,67.59,282.67,203.2,1,0,27.64,9.19,5.3,3,0,110.65,4.6,3.18,39.83,22.8,3,32,58,0,2.63,2,0,0,0,0,0,6,0,0,0,19,0,0,0,39.63,11.42,11.82,1,5,88.17299999999999
[NH3+]CCC1=CC=C(F)C=C1,0,4,207.04,80.92,230.35,104.23,311.27,224.66,1,0,27.64,10.8,5.08,3,0,135.05,5.49,3.37,48.87,25.38,10,127,296,1,2.13,2,0,6,6,6,0,4,1,1,0,21,6,1,0,50.8,15.04,14.8,1,8,140.181
[NH3+]C1=CC=C(F)C=C1,0,2,223.51,84.41,171.72,32.62,256.13,163.01,1,0,27.64,8.57,3.97,3,0,101.09,4.29,3.35,40.17,20.46,7,62,115,1,2.19,0,0,6,6,6,0,2,1,1,0,15,6,1,0,41.21,11.42,10.83,1,6,112.12700000000001
[NH3+]CC1=CC=C(C=C1)C(F)(F)F,0,6,177.72,149.38,177.53,149.19,326.91,236.68,1,0,27.64,10.59,5.23,3,0,145.09,5.39,3.52,50.8,27.16,15,201,496,1,2.36,2,0,6,6,6,0,6,1,1,0,21,6,1,0,51.8,14.75,15.12,1,8,176.162
[NH3+]C1=CC=C(C=C1)C(F)(F)F,0,5,189.88,155.76,146.27,112.15,302.03,206.0,1,0,27.64,9.5,5.02,3,0,128.06,4.78,3.48,46.91,23.91,13,152,340,1,2.18,1,0,6,6,6,0,5,1,1,0,18,6,1,0,46.96,12.94,13.18,1,7,162.135
CC(C)(C)CC(C)(C)[NH3+],0,9,239.21,21.36,283.03,65.18,304.39,301.19,1,0,27.64,9.14,6.06,3,0,162.42,4.64,3.39,45.62,31.48,6,88,173,0,3.75,2,0,0,0,0,0,9,0,0,0,28,0,0,0,53.17,16.96,17.19,1,8,130.254
[NH3+]C1=CC=CC=C1,0,1,179.39,51.71,197.52,69.84,249.23,155.97,1,0,27.64,8.0,3.87,3,0,96.22,4.01,3.4,38.57,20.14,5,42,71,1,1.82,0,0,6,6,6,0,1,1,1,0,15,6,1,0,40.99,11.79,10.73,1,6,94.13600000000001
CC(C)(C)[NH3+],0,5,175.03,34.38,207.3,66.66,241.69,177.46,1,0,27.64,5.77,5.96,3,0,93.72,3.38,3.36,29.4,25.82,0,16,22,0,3.02,0,0,0,0,0,0,5,0,0,0,16,0,0,0,35.02,9.57,9.73,1,4,74.146
[NH3+]CC1=CC=C(F)C=C1,0,3,185.74,78.32,201.33,93.91,279.65,193.91,1,0,27.64,9.78,5.21,3,0,118.01,4.92,3.37,43.98,24.13,9,90,187,1,1.94,1,0,6,6,6,0,3,1,1,0,18,6,1,0,46.04,13.28,12.74,1,7,126.154
[NH3+]C1CCCCC1,0,7,190.24,39.52,200.22,49.5,239.74,203.39,1,0,27.64,8.2,5.38,3,0,116.34,4.16,3.63,39.89,27.29,5,42,71,1,1.82,0,0,6,6,6,0,1,1,0,1,21,0,0,1,42.23,12.53,12.76,1,6,100.184
