Compound,_feat_fr_imine,_feat_fr_ar_nh,_feat_fr_arn,_feat_fr_quatn,_feat_fr_nh0,_feat_fr_nh1,_feat_fr_nh2,_feat_fr_pyridine,_feat_fr_piperzine,_feat_fr_piperdine,_feat_fr_guanido,_feat_fr_dihydropyridine,_feat_fr_amidine,_feat_fr_halogen
C1=CC=C(C=C1)CC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
CCCC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
CC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C(=[NH2+])(N)N.[I-],0,0,0,0,0,0,3,0,0,0,1,0,0,1
CC(=[NH2+])N.[I-],0,0,0,0,0,0,2,0,0,0,0,0,1,1
C(=N)[NH3+].[I-],0,0,0,1,0,1,0,0,0,0,0,0,0,1
C1=CN=C[NH2+]1.[I-],1,0,0,1,1,0,1,0,0,0,0,0,0,1
C1=CC=C(C=C1)C[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I-].CC(C)(C)C[NH3+],0,0,0,1,0,0,0,0,0,0,0,0,0,1
CC(C)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I-].CC(C)C[NH3+],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C[NH2+]C.[I-],0,0,0,1,0,0,1,0,0,0,0,0,0,1
[I-].CCCCCCCCCCCC[NH3+],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1CC[NH2+]C1.[I-],0,0,0,1,0,0,1,0,0,0,0,0,0,1
C(C[NH3+])[NH3+].[I-].[I-],0,0,0,2,0,0,0,0,0,0,0,0,0,2
C1(=CC=C(C=C1)OC)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
[NH3+]CCC[NH3+].[I-].[I-],0,0,0,2,0,0,0,0,0,0,0,0,0,2
[I-].[NH3+]CCC,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CC(CC[NH3+])C.[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1(=CC=C(C=C1)F)CC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,2
C1(=CC=C(C=C1)F)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,2
C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,4
C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,4
C(CC(C)(C)[NH3+])(C)(C)C.[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1=CC=C(C=C1)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
CC(C)(C)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1(=CC=C(C=C1)F)C[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,2
C1CCC(CC1)[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1C[NH+]2CCC1CC2.[I-],0,0,0,1,0,1,0,0,0,3,0,0,0,1
C1=CC=[NH+]C=C1.[I-],0,1,0,0,0,1,0,1,0,0,0,0,0,1
CC[NH2+]CC.[I-],0,0,0,1,0,0,1,0,0,0,0,0,0,1
CCCCCCCC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1COCC[NH2+]1.[I-],0,0,0,1,0,0,1,0,0,0,0,0,0,1
CCCCCC[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1CC[NH2+]CC1.[I-],0,0,0,1,0,0,1,0,0,1,0,0,0,1
C1CCC(CC1)C[NH3+].[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
C(CC[NH3+])C[NH3+].[I-].[I-],0,0,0,2,0,0,0,0,0,0,0,0,0,2
C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],0,0,0,2,0,0,0,0,0,0,0,0,0,2
C[NH+](C)CC[NH3+].[I-].[I-],0,0,0,2,0,1,0,0,0,0,0,0,0,2
CC[NH+](CC)CCC[NH3+].[I-].[I-],0,0,0,2,0,1,0,0,0,0,0,0,0,2
[I-].[I-].C1C[NH2+]CC[NH2+]1,0,0,0,2,0,0,2,0,1,0,0,0,0,2
C1CC[NH+](C1)CC[NH3+].[I-].[I-],0,0,0,2,0,1,0,0,0,0,0,0,0,2
CC(C)[NH2+]C(C)C.[I-],0,0,0,1,0,0,1,0,0,0,0,0,0,1
C[NH+](C)CCC[NH3+].[I-].[I-],0,0,0,2,0,1,0,0,0,0,0,0,0,2
[I-].[NH3+](CCC1=CC=C(C=C1)OC),0,0,0,1,0,0,0,0,0,0,0,0,0,1
C1=CC(=CC=C1CC[NH3+])O.[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,1
[NH3+]CCc1ccc(Cl)cc1.[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,2
C1=CC(=CC=C1[NH3+])Cl.[I-],0,0,0,1,0,0,0,0,0,0,0,0,0,2
