Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
2,C,1,C1,Halide Aloying,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,,
3,E,1,E1,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
4,G,1,G1,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
5,A,3,A3,Halide Aloying,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,,
6,C,3,C3,Halide Aloying,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,,
7,E,3,E3,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
8,G,3,G3,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
9,A,5,A5,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
10,C,5,C5,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
11,E,5,E5,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
12,G,5,G5,Halide Aloying,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,,
13,A,7,A7,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
14,C,7,C7,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
15,E,7,E7,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
16,G,7,G7,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
17,A,9,A9,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
18,C,9,C9,Halide Aloying,,3,,,escalate_MathematicaUniformRandom_1.2,escalate,,
19,E,9,E9,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
20,G,9,G9,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
21,A,11,A11,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
22,C,11,C11,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
23,E,11,E11,Halide Aloying,,4,,,escalate_MathematicaUniformRandom_1.2,escalate,,
24,G,11,G11,Halide Aloying,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
