Compound,_feat_heteroaromaticringcount_std,_feat_aliphaticatomcount_std,_feat_asa+_std,_feat_asap_std,_feat_asah_std,_feat_asa-_std,_feat_asa_std,_feat_asavdwp_std,_feat_hdonorcount_std,_feat_hacceptorcount_std,_feat_protpsa_std,_feat_minimalprojectionsize_std,_feat_maximalprojectionsize_std,_feat_donsitecount_std,_feat_accsitecount_std,_feat_vanderwaalsvolume_std,_feat_maximalprojectionradius_std,_feat_minimalprojectionradius_std,_feat_maximalprojectionarea_std,_feat_minimalprojectionarea_std,_feat_wienerpolarity_std,_feat_wienerindex_std,_feat_hyperwienerindex_std,_feat_cyclomaticnumber_std,_feat_balabanindex_std,_feat_rotatablebondcount_std,_feat_heteroaliphaticringcount_std,_feat_largestringsize_std,_feat_smallestringsize_std,_feat_ringatomcount_std,_feat_chiralcentercount_std,_feat_chainatomcount_std,_feat_carboringcount_std,_feat_carboaromaticringcount_std,_feat_carboaliphaticringcount_std,_feat_bondcount_std,_feat_aromaticatomcount_std,_feat_aromaticringcount_std,_feat_aliphaticringcount_std,_feat_refractivity_std,_feat_molpol_std,_feat_avgpol_std,_feat_atomcount_n_std,_feat_atomcount_c_std,_feat_organoammoniummolecularweight_std
C[NH3+],0,2,136.92,61.9,129.54,54.52,191.44,81.16,1,0,27.64,4.81,5.08,3,0,42.58,2.67,2.33,17.05,13.88,0,1,1,0,1.0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,21.21,4.04,4.23,1,1,32.065
CC[NH3+],0,3,154.04,50.92,164.65,61.53,215.57,112.02,1,0,27.64,6.59,5.17,3,0,59.49,3.3,2.59,22.85,17.09,0,4,5,0,1.63,0,0,0,0,0,0,3,0,0,0,10,0,0,0,25.96,5.88,6.09,1,2,46.092
[NH3+]CCC1=CC=CC=C1,0,3,218.15,48.41,256.14,86.4,304.55,217.67,1,0,27.64,10.13,5.96,3,0,130.2,5.03,3.37,46.76,24.96,8,94,203,1,1.85,2,0,6,6,6,0,3,1,1,0,21,6,1,0,50.58,15.43,14.69,1,8,122.19
CC(N)=[NH2+],0,4,172.93,72.7,139.66,39.44,212.36,110.9,2,1,51.61,6.02,4.26,4,1,62.84,3.23,3.14,26.37,17.01,0,9,12,0,2.32,0,0,0,0,0,0,4,0,0,0,10,0,0,0,27.86,6.57,6.58,2,2,59.091
CC[NH+](CC)CCC[NH3+],0,9,285.85,54.74,304.69,73.58,359.43,294.02,2,0,32.08,10.69,6.0,4,0,160.34,5.42,4.32,55.8,34.16,8,104,242,0,3.09,5,0,0,0,0,0,9,0,0,0,28,0,0,0,64.61,16.56,17.53,2,7,132.25
[NH3+]C1=CC=C([NH3+])C=C1,0,2,256.81,103.52,153.29,0.0,256.81,176.15,2,0,55.28,8.86,4.31,6,0,110.43,4.46,3.5,42.74,22.02,7,62,115,1,2.19,0,0,6,6,6,0,2,1,1,0,18,6,1,0,55.92,13.2,12.61,2,6,110.15899999999999
[NH3+]CC1=CC=C(C=C1)C(F)(F)F,0,6,177.72,149.38,177.53,149.19,326.91,236.68,1,0,27.64,10.59,5.23,3,0,145.09,5.39,3.52,50.8,27.16,15,201,496,1,2.36,2,0,6,6,6,0,6,1,1,0,21,6,1,0,51.8,14.75,15.12,1,8,176.162
[NH3+]CC[NH+]1CCCC1,0,8,258.43,54.76,226.65,22.98,281.41,235.46,2,0,32.08,10.25,6.39,4,0,131.49,5.03,3.23,44.29,25.85,5,67,135,1,2.06,2,1,5,5,5,0,3,0,0,0,24,0,0,1,57.79,13.98,14.6,2,6,116.20700000000001
C[NH+](C)CC[NH3+],0,6,229.29,56.48,218.87,46.05,275.35,202.37,2,0,32.08,9.08,5.31,4,0,109.27,4.55,3.13,39.14,22.95,3,32,58,0,2.63,2,0,0,0,0,0,6,0,0,0,19,0,0,0,50.25,11.03,11.57,2,4,90.169
C1COCC[NH2+]1,0,6,215.5,38.63,191.91,15.05,230.55,163.85,1,1,25.84,6.7,5.52,2,2,92.0,3.64,3.25,32.51,23.07,3,27,42,1,2.0,0,1,6,6,6,0,0,0,0,0,16,0,0,1,35.18,9.53,9.76,1,4,88.12899999999999
[NH3+]CC1CCCCC1,0,8,213.57,41.18,224.73,52.34,265.92,233.86,1,0,27.64,9.33,5.66,3,0,133.35,4.78,3.7,45.68,28.32,7,64,122,1,2.13,1,0,6,6,6,0,2,1,0,1,24,0,0,1,46.96,14.37,14.74,1,7,114.211
C[NH2+]C,0,3,159.01,30.9,197.63,69.52,228.53,116.23,1,0,16.61,6.54,5.05,2,0,60.05,3.3,2.61,22.94,16.67,0,4,5,0,1.63,0,0,0,0,0,0,3,0,0,0,10,0,0,0,26.11,5.88,6.09,1,2,46.092
C1C[NH2+]CC[NH2+]1,0,6,211.24,44.06,167.18,0.0,211.24,171.04,2,0,33.22,6.84,5.31,4,0,97.66,3.65,3.56,34.14,25.76,3,27,42,1,2.0,0,1,6,6,6,0,0,0,0,0,18,0,0,1,48.28,10.29,10.57,2,4,88.15299999999999
[NH3+]CCC[NH3+],0,5,197.61,98.31,142.53,43.22,240.84,162.05,2,0,55.28,8.91,5.16,6,0,90.86,4.51,2.89,33.72,19.68,2,20,35,0,2.19,2,0,0,0,0,0,5,0,0,0,16,0,0,0,45.32,9.18,9.74,2,3,76.142
CC[NH2+]CC,0,5,206.64,19.64,267.53,80.53,287.17,177.5,1,0,16.61,9.15,5.73,2,0,93.95,4.54,2.8,34.28,19.22,2,20,35,0,2.19,2,0,0,0,0,0,5,0,0,0,16,0,0,0,35.61,9.57,10.0,1,4,74.146
CC(C)[NH2+]C(C)C,0,7,230.8,13.65,288.54,71.4,302.2,236.93,1,0,16.61,8.46,6.12,2,0,128.14,4.49,3.37,41.21,28.74,4,48,91,0,2.95,2,0,0,0,0,0,7,0,0,0,22,0,0,0,44.44,13.27,13.62,1,6,102.2
COC1=CC=C(CC[NH3+])C=C1,0,5,293.82,67.01,303.81,77.0,370.82,265.89,1,1,36.87,12.05,6.17,3,2,156.29,6.03,3.45,53.7,28.03,12,170,432,1,1.94,3,0,6,6,6,0,5,1,1,0,25,6,1,0,57.04,17.92,17.7,1,9,152.216
