reagent	part_no	amount	units	update_date	create_date	updated_by	in_stock	remaining_stock
Lead Iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	7	350
Methylammonium iodide	806390-25G (MS101000-100)			2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	4	200
Ethylammonium iodide	805823-25G			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	6	200
n-Butylammonium Iodide	MS106000			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	8	130
Phenethylammonium iodide 	805904-25G			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	6	105
Formamidinium Iodide	MS-150000			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	150
Guanidinium Iodide	806056			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	200
Imidazolium Iodide	MS-170000-100			2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	4	125
Acetamidinium Iodide	805971-25G			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	55
Benzylammonium Iodide	806196-25G			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	5	200
neo-Pentylammonium iodide	MS100740-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
iso-Butylammonium iodide	MS107000-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	15
Dimethylammonium iodide	MS111100-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	8	155
n-Dodecylammonium iodide	MS100880-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	22
Pyrrolidinium Iodide	MS119700-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	100
N-propylammonium Iodide	805858-25G			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	100
Quinuclidinium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	30
Piperazine-1,4-diium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Cyclohexylammonium iodide	MS100840-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	25
tert-Octylammonium iodide	MS100830-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	25
4-Trifluoromethyl-Phenylammonium iodide	MS100790-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
4-Methoxy-Phenylammonium iodide	MS100610-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Propane-1,3-diammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	50
4-Fluoro-Phenylammonium iodide	MS100620-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	25
iso-Pentylammonium iodide	MS100710-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	50
n-Hexylammonium iodide	MS100860-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	35
4-Fluoro- Benzylammonium iodide	MS100730-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	5	140
4-Trifluoromethyl-Benzylammonium iodide	MS100780-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	105
4-Fluoro-Phenethylammonium iodide	MS100720-100			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	20
Cyclohexylmethylammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	6	60
Ethane-1,2-diammonium iodide	MS102002-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	10	145
Butane-1,4 Diammonium Iodide	MS104040-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	35
Phenylammonium Iodide	MS108000-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	15	135
Morpholinium Iodide	MS110640-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	125
Piperidinium Iodide	MS119800-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	3	30
t-Butylammonium Iodide	MS106000-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	6	90
n-Octylammonium Iodide	MS105500-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	4	40
1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide	MS129400-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	15
5-Azaspiro[4.4]nonan-5-ium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	10
Pyridinium Iodide	MS129810-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
iso-Propylammonium iodide	MS104000-10			2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	5	75
Di-isopropylammonium Iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	50
Diethylammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
1,4-Benzene diammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	15
N,N-Dimethylethane- 1,2-diammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	15
N,N-Diethylpropane-1,3-diammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
2-Pyrrolidin-1-ium-1-ylethylammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
N,N-dimethylpropane- 1,3-diammonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
4-methoxy-phenethylammonium-iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	60
Methyl phenyl phosphonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	50
Ethyl phenyl phosphonium iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	2	100
Bismuth III Iodide				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	25
Indium III Chloride				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
Indium II Chloride				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
Lead Bromide	211141-100G			2000-01-01 09:36:30+00	2019-06-01 00:00:00+00	Mansoor	13	50
Methylammonium Bromide	806498-25g			2000-01-01 09:36:31+00	2019-06-01 00:00:00+00	Mansoor	2	105
Ethylammonium bromine	900868			2000-01-01 09:36:32+00	2019-06-01 00:00:00+00	Mansoor	3	135
Imidazolium Bromide				2000-01-01 09:36:33+00	2019-06-01 00:00:00+00	Mansoor	2	110
Acetamidinium Bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	108
n-Butylammonium Bromide	4992019			2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	1066.9658
formamidinium bromide	146958-06-7			2000-01-01 09:36:36+00	2019-06-01 00:00:00+00	Mansoor	2	145
phenethylammonium bromide	53916-94-2			2000-01-01 09:36:37+00	2019-06-01 00:00:00+00	Mansoor	1	50
guanidinium bromide	900839-25g			2000-01-01 09:36:38+00	2019-06-01 00:00:00+00	Mansoor	2	125
benzylammonium bromide	900885-5g			2000-01-01 09:36:39+00	2019-06-01 00:00:00+00	Mansoor	6	125
ethane-1,2-diammonium bromide	624-59-9			2000-01-01 09:36:40+00	2019-06-01 00:00:00+00	Mansoor	1	10
piperazine-1,4-diium bromide	21152417			2000-01-01 09:36:41+00	2019-06-01 00:00:00+00	Mansoor	2	110
n-dodecylammonium bromide	26204-55-7			2000-01-01 09:36:42+00	2019-06-01 00:00:00+00	Mansoor		
dimethylammonium bromide	1830936			2000-01-01 09:36:43+00	2019-06-01 00:00:00+00	Mansoor	2	15
neo-pentylammonium bromide	missing CAS RN			2000-01-01 09:36:44+00	2019-06-01 00:00:00+00	Mansoor	1	10
pyrrolidinium bromide	55810-80-5			2000-01-01 09:36:45+00	2019-06-01 00:00:00+00	Mansoor	1	10
quinuclidinium bromide	60662-68-2			2000-01-01 09:36:46+00	2019-06-01 00:00:00+00	Mansoor	1	10
iso-butylammonium bromide	batch#: 569205			2000-01-01 09:36:47+00	2019-06-01 00:00:00+00	Mansoor	2	110
iso-propylammonium bromide	29552-58-7			2000-01-01 09:36:48+00	2019-06-01 00:00:00+00	Mansoor	2	110
n-Dodecylammonium bromide				2000-01-01 09:36:49+00	2019-06-01 00:00:00+00	Mansoor	1	10
2-Pyrrolidin-1-ium-1-ylethylammonium bromide				2000-01-01 09:36:50+00	2019-06-01 00:00:00+00	Mansoor	2	20
Butane-1,4-diammonium bromide				2000-01-01 09:36:51+00	2019-06-01 00:00:00+00	Mansoor	2	20
Cyclohexylmethylammonium bromide				2000-01-01 09:36:52+00	2019-06-01 00:00:00+00	Mansoor	2	20
Di-iso-Propylammonium bromide				2000-01-01 09:36:53+00	2019-06-01 00:00:00+00	Mansoor	2	20
Diethylammonium bromide				2000-01-01 09:36:54+00	2019-06-01 00:00:00+00	Mansoor	2	20
N,N-dimethylpropane-1,3-diammonium bromide				2000-01-01 09:36:55+00	2019-06-01 00:00:00+00	Mansoor	4	120
N,N-Dimethylethane- 1,2-diammonium bromide				2000-01-01 09:36:56+00	2019-06-01 00:00:00+00	Mansoor	2	20
Hexane-1,6-diammonium bromide				2000-01-01 09:36:57+00	2019-06-01 00:00:00+00	Mansoor	2	20
Morpholinium bromide				2000-01-01 09:36:58+00	2019-06-01 00:00:00+00	Mansoor	3	120
4-Trifluoromethyl-Benzylammonium bromide				2000-01-01 09:36:59+00	2019-06-01 00:00:00+00	Mansoor	2	20
4 Methoxy phenylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
4 Trifluromethyl phenyammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	3	30
2 Methoxyethylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Propane 1,3 diammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
4 Methoxy phenethylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
n-Hexylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	1	100
n-Octylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	1	100
N-propylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	1	100
t-Butylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	1	100
4-Trifluoromethyl-Phenylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
2 Methoxyethylammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
N,N-Diethylethane- 1,2-diammonium bromide				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Morpholinium Chloride				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Quinclidinium Chloride				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
2-Pyrrolidin-1-ium-1-ylethylammonium chloride				2000-01-01 09:38:00+00	2019-06-01 00:00:00+00	Mansoor	2	20
Indium III Chloride				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
Indium II Chloride				2000-01-01 09:37:00+00	2019-06-01 00:00:00+00	Mansoor	1	10
N,N-Dimethylformamide (/DMF)	227056-1L			2000-01-01 09:36:41+00	2019-06-01 00:00:00+00		2	2
GBL	B1198-3KG			0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		500	1.5
Formic Acid				0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		100	
Lead Oxide	211907-100G			0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		90	
Cesium iodide				0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		10	
Bismuth iodide				0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		25	
DMSO				0001-01-01 04:56:02+00	2019-06-01 00:00:00+00		1	1
