description	inventory_description	material_description	part_no	onhand_amt_type	onhand_amt_unit	onhand_amt_value	expiration_date	location
"1,4-Benzene diammonium iodide"	Haverford Inventory	"1,4-Benzene diammonium iodide"		num		2		
"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide"	Haverford Inventory	"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide"	MS129400-10	num		2		
2-Pyrrolidin-1-ium-1-ylethylammonium bromide	Haverford Inventory	2-Pyrrolidin-1-ium-1-ylethylammonium bromide		num		2		
2-Pyrrolidin-1-ium-1-ylethylammonium iodide	Haverford Inventory	2-Pyrrolidin-1-ium-1-ylethylammonium iodide		num		2		
4-Fluoro-Phenethylammonium iodide	Haverford Inventory	4-Fluoro-Phenethylammonium iodide	MS100720-100	num		4		
4-Fluoro-Phenylammonium iodide	Haverford Inventory	4-Fluoro-Phenylammonium iodide	MS100620-100	num		3		
4-Methoxy-Phenylammonium iodide	Haverford Inventory	4-Methoxy-Phenylammonium iodide	MS100610-100	num		2		
4-Trifluoromethyl-Benzylammonium bromide	Haverford Inventory	4-Trifluoromethyl-Benzylammonium bromide		num		2		
4-Trifluoromethyl-Benzylammonium iodide	Haverford Inventory	4-Trifluoromethyl-Benzylammonium iodide	MS100780-100	num		2		
4-Trifluoromethyl-Phenylammonium bromide	Haverford Inventory	4-Trifluoromethyl-Phenylammonium Bromide		num		2		
4-Trifluoromethyl-Phenylammonium iodide	Haverford Inventory	4-Trifluoromethyl-Phenylammonium iodide	MS100790-100	num		1		
4-methoxy-phenethylammonium-iodide	Haverford Inventory	4-methoxy-phenethylammonium-iodide		num		2		
5-Azaspiro[4.4]nonan-5-ium iodide	Haverford Inventory	5-Azaspiro[4.4]nonan-5-ium iodide		num		2		
Acetamidinium Bromide	Haverford Inventory	Acetamidinium bromide		num		2		
Acetamidinium Iodide	Haverford Inventory	Acetamidinium iodide	805971-25G	num		2		
Benzylammonium Iodide	Haverford Inventory	Benzylammonium Iodide	806196-25G	num		5		
Bismuth iodide	Haverford Inventory	Bismuth iodide		num		25		
"Butane-1,4-diammonium bromide"	Haverford Inventory	"Butane-1,4-diammonium bromide"		num		2		
Cesium iodide	Haverford Inventory	Cesium iodide		num		10		
Cyclohexylammonium iodide	Haverford Inventory	Cyclohexylammonium iodide	MS100840-100	num		3		
Cyclohexylmethylammonium bromide	Haverford Inventory	Cyclohexylmethylammonium Bromide		num		2		
Cyclohexylmethylammonium iodide	Haverford Inventory	Cyclohexylmethylammonium iodide		num		6		
DMSO	Haverford Inventory	Dimethyl sulfoxide		num		1		
Di-iso-Propylammonium bromide	Haverford Inventory	Di-iso-Propylammonium bromide		num		2		
Di-isopropylammonium Iodide	Haverford Inventory	Di-isopropylammonium iodide		num		1		
Diethylammonium bromide	Haverford Inventory	Diethylammonium bromide		num		2		
Diethylammonium iodide	Haverford Inventory	Diethylammonium iodide		num		1		
Dimethylammonium iodide	Haverford Inventory	Dimethylammonium iodide	MS111100-100	num		8		
"Ethane-1,2-diammonium iodide"	Haverford Inventory	"Ethane-1,2-diammonium iodide"	MS102002-10	num		10		
Ethylammonium iodide	Haverford Inventory	Ethylammonium Iodide	805823-25G	num		6		
Formamidinium Iodide	Haverford Inventory	Formamidinium Iodide	MS-150000	num		3		
Formic Acid	Haverford Inventory	Formic Acid		num		100		
GBL	Haverford Inventory	Gamma-Butyrolactone	B1198-3KG	num		500		
Guanidinium Iodide	Haverford Inventory	Guanidinium iodide	806056	num		3		
"Hexane-1,6-diammonium bromide"	Haverford Inventory	"Hexane-1,6-diammonium bromide"		num		2		
Imidazolium Bromide	Haverford Inventory	Imidazolium bromide		num		2		
Imidazolium Iodide	Haverford Inventory	Imidazolium Iodide	MS-170000-100	num		4		
Methylammonium Bromide	Haverford Inventory	Methylammonium bromide	806498-25g	num		2		
Methylammonium iodide	Haverford Inventory	Methylammonium iodide	806390-25G (MS101000-100)	num		4		
Morpholinium Iodide	Haverford Inventory	Morpholinium Iodide	MS110640-10	num		4		
Morpholinium bromide	Haverford Inventory	Morpholinium Bromide		num		3		
"N,N-Diethylpropane-1,3-diammonium iodide"	Haverford Inventory	"N,N-Diethylpropane-1,3-diammonium iodide"		num		2		
"N,N-dimethylpropane-1,3-diammonium bromide"	Haverford Inventory	"N,N-dimethylpropane-1,3-diammonium Bromide"		num		4		
N-propylammonium Iodide	Haverford Inventory	N-propylammonium Iodide	805858-25G	num		4		
N-propylammonium bromide	Haverford Inventory	N-propylammonium bromide		num		1		
Phenethylammonium iodide 	Haverford Inventory	Phenethylammonium iodide 	805904-25G	num		6		
Phenylammonium Iodide	Haverford Inventory	Phenylammonium Iodide	MS108000-10	num		15		
"Piperazine-1,4-diium iodide"	Haverford Inventory	"Piperazine-1,4-diium iodide"		num		2		
Piperidinium Iodide	Haverford Inventory	Piperidinium Iodide	MS119800-10	num		3		
"Propane-1,3-diammonium iodide"	Haverford Inventory	"Propane-1,3-diammonium iodide"		num		1		
Pyridinium Iodide	Haverford Inventory	Pyridinium Iodide	MS129810-10	num		2		
Pyrrolidinium Iodide	Haverford Inventory	Pyrrolidinium Iodide	MS119700-100	num		2		
benzylammonium bromide	Haverford Inventory	Benzylammonium Bromide	900885-5g	num		6		
dimethylammonium bromide	Haverford Inventory	Dimethylammonium bromide	1830936	num		2		
"ethane-1,2-diammonium bromide"	Haverford Inventory	"Ethane-1,2-diammonium bromide"	624-59-9	num		1		
formamidinium bromide	Haverford Inventory	Formamidinium bromide	146958-06-7	num		2		
guanidinium bromide	Haverford Inventory	Guanidinium bromide	900839-25g	num		2		
iso-Butylammonium iodide	Haverford Inventory	iso-Butylammonium iodide	MS107000-100	num		2		
iso-Pentylammonium iodide	Haverford Inventory	iso-Pentylammonium iodide	MS100710-100	num		1		
iso-butylammonium bromide	Haverford Inventory	iso-Butylammonium bromide	batch#: 569205	num		2		
n-Butylammonium Bromide	Haverford Inventory	n-Butylammonium bromide	4992019	num		2		
n-Butylammonium Iodide	Haverford Inventory	n-Butylammonium iodide	MS106000	num		8		
n-Dodecylammonium bromide	Haverford Inventory	n-Dodecylammonium bromide		num		1		
n-Dodecylammonium iodide	Haverford Inventory	n-Dodecylammonium iodide	MS100880-100	num		3		
n-Hexylammonium bromide	Haverford Inventory	n-Hexylammonium bromide		num		1		
n-Hexylammonium iodide	Haverford Inventory	n-Hexylammonium iodide	MS100860-100	num		4		
n-Octylammonium Iodide	Haverford Inventory	n-Octylammonium Iodide	MS105500-10	num		4		
n-Octylammonium bromide	Haverford Inventory	n-Octylammonium bromide		num		1		
neo-Pentylammonium iodide	Haverford Inventory	neo-Pentylammonium iodide	MS100740-100	num		2		
neo-pentylammonium bromide	Haverford Inventory	neo-Pentylammonium bromide	missing CAS RN	num		1		
phenethylammonium bromide	Haverford Inventory	Phenethylammonium bromide	53916-94-2	num		1		
"piperazine-1,4-diium bromide"	Haverford Inventory	"Piperazine-1,4-diium bromide"	21152417	num		2		
pyrrolidinium bromide	Haverford Inventory	Pyrrolidinium Bromide	55810-80-5	num		1		
t-Butylammonium Iodide	Haverford Inventory	t-Butylammonium Iodide	MS106000-10	num		6		
t-Butylammonium bromide	Haverford Inventory	t-Butylammonium bromide		num		1		
tert-Octylammonium iodide	Haverford Inventory	tert-Octylammonium iodide	MS100830-100	num		3		
"1,4-Benzene diammonium iodide"	LBL Inventory	"1,4-Benzene diammonium iodide"	MS108005-100	num	g	186.5		
"1,4-Diazabicyclo[2,2,2]octane-1,4-diium iodide"	LBL Inventory	"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide"	MS129400-100	num	g	200		
2-Pyrrolidin-1-ium-1-ylethylammonium iodide	LBL Inventory	2-Pyrrolidin-1-ium-1-ylethylammonium iodide	MS122972-100	num	g	200		
4-Fluoro-Phenethylammonium iodide	LBL Inventory	4-Fluoro-Phenethylammonium iodide	MS100720-100	num	g	54		
4-Fluoro-Phenylammonium iodide	LBL Inventory	4-Fluoro-Phenylammonium iodide	MS100620-100	num	g	140		
4-Methoxy-Phenylammonium iodide	LBL Inventory	4-Methoxy-Phenylammonium iodide	MS100610-100	num	g	69		
4-Trifluoromethyl-Benzylammonium iodide	LBL Inventory	4-Trifluoromethyl-Benzylammonium iodide	MS100780-100	num	g	64		
4-Trifluoromethyl-Phenylammonium iodide	LBL Inventory	4-Trifluoromethyl-Phenylammonium iodide	MS100790-100	num	g	60		
5-Azaspiro[4.4]nonan-5-ium iodide	LBL Inventory	5-Azaspiro[4.4]nonan-5-ium iodide	MS199700-100	num	g	200		
Acetamidinium Iodide	LBL Inventory	Acetamidinium iodide	805971-25G	num	g	35		
Acetamidinium bromide	LBL Inventory	Acetamidinium bromide		num	g	100		
Benzylammonium Iodide	LBL Inventory	Benzylammonium Iodide	806196-25G	num	g	45		
Benzylammonium bromide	LBL Inventory	Benzylammonium Bromide		num	g	100		
Bismuth iodide	LBL Inventory	Bismuth iodide		num	g	100		
"Butane-1,4-diammonium iodide"	LBL Inventory	"Butane-1,4-diammonium Iodide"	MS104040-100	num	g	200		
Cesium iodide	LBL Inventory	Cesium iodide		num	g	100		
Cyclohexylammonium iodide	LBL Inventory	Cyclohexylammonium iodide	MS100840-100	num	g	66		
Cyclohexylmethylammonium iodide	LBL Inventory	Cyclohexylmethylammonium iodide	MS101840-50	num	g	78		
Di-isopropylammonium Iodide	LBL Inventory	Di-isopropylammonium iodide		num	g	50		
Diethylammonium iodide	LBL Inventory	Diethylammonium iodide	MS112200-100	num	g	179		
Dimethylammonium iodide	LBL Inventory	Dimethylammonium iodide	MS111100-100 (805831-25G)	num	g	54.2		
EtNH3Br	LBL Inventory	Ethylammonium bromide	900868-25G	num	g	80		
EtNH3I	LBL Inventory	Ethylammonium Iodide	805823-25G	num	g	112.5		
"Ethane-1,2-diammonium iodide"	LBL Inventory	"Ethane-1,2-diammonium iodide"		num	g	200		
Formamidinium Iodide	LBL Inventory	Formamidinium Iodide	MS-150000-100	num	g	200		
Formamidinium bromide	LBL Inventory	Formamidinium bromide		num	g	54		
Formic Acid	LBL Inventory	Formic Acid		num	mL	100		
GBL	LBL Inventory	Gamma-Butyrolactone	B1198-3KG	num	mL	3000		
Guanidinium Iodide	LBL Inventory	Guanidinium iodide	806056-25G	num	g	5		
