description	material_class	consumable	material_identifier__description	material_identifier_def__description	material_type__description
Gamma-Butyrolactone	model	TRUE	Gamma-Butyrolactone|GBL|InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2|YEJRWHAVMIAJKC-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	solvent
Dimethyl sulfoxide	model	TRUE	Dimethyl sulfoxide|DMSO|InChI=1S/C2H6OS/c1-4(2)3/h1-2H3|IAZDPXIOMUYVGZ-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	solvent
Formic Acid	model	TRUE	"Formic Acid|FAH|InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)|BDAGIHXWWSANSR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	acid
Lead Diiodide	model	TRUE	Lead Diiodide|PbI2|InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2|RQQRAHKHDFPBMC-UHFFFAOYSA-L	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
Ethylammonium Iodide	model	TRUE	"Ethylammonium Iodide|EtNH3I|InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H|XFYICZOIWSBQSK-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Methylammonium iodide	model	TRUE	"Methylammonium iodide|MeNH3I|InChI=1S/CH5N.HI/c1-2;/h2H2,1H3;1H|LLWRXQXPJMPHLR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Phenethylammonium iodide 	model	TRUE	"Phenethylammonium iodide |PhEtNH3I|InChI=1S/C8H11N.HI/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H|UPHCENSIMPJEIS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Acetamidinium iodide	model	TRUE	"Acetamidinium iodide|AcNH3I|InChI=1S/C2H6N2.HI/c1-2(3)4;/h1H3,(H3,3,4);1H|GGYGJCFIYJVWIP-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Butylammonium iodide	model	TRUE	"n-Butylammonium iodide|n-BuNH3I|InChI=1S/C4H11N.HI/c1-2-3-4-5;/h2-5H2,1H3;1H|CALQKRVFTWDYDG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Guanidinium iodide	model	TRUE	"Guanidinium iodide|GnNH3I|InChI=1S/CH5N3.HI/c2-1(3)4;/h(H5,2,3,4);1H|UUDRLGYROXTISK-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Dichloromethane	model	TRUE	Dichloromethane|DCM|InChI=1S/CH2Cl2/c2-1-3/h1H2|YMWUJEATGCHHMB-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	solvent
Dimethylammonium iodide	model	TRUE	"Dimethylammonium iodide|Me2NH2I|InChI=1S/C2H7N.HI/c1-3-2;/h3H,1-2H3;1H|JMXLWMIFDJCGBV-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Phenylammonium Iodide	model	TRUE	"Phenylammonium Iodide|PhenylammoniumIodide|InChI=1S/C6H7N.HI/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H|KFQARYBEAKAXIC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
t-Butylammonium Iodide	model	TRUE	"t-Butylammonium Iodide|tButylammoniumIodide|InChI=1S/C4H11N.HI/c1-4(2,3)5;/h5H2,1-3H3;1H|NLJDBTZLVTWXRG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
N-propylammonium Iodide	model	TRUE	"N-propylammonium Iodide|NPropylammoniumIodide|InChI=1S/C3H9N.HI/c1-2-3-4;/h2-4H2,1H3;1H|GIAPQOZCVIEHNY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Formamidinium Iodide	model	TRUE	"Formamidinium Iodide|FormamidiniumIodide|InChI=1S/CH4N2.HI/c2-1-3;/h1H,(H3,2,3);1H|QHJPGANWSLEMTI-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide"	model	TRUE	"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide|Dabcoiodide|InChI=1S/C6H12N2.2HI/c1-2-8-5-3-7(1)4-6-8;;/h1-6H2;2*1H|WXTNTIQDYHIFEG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Fluoro-Benzylammonium iodide	model	TRUE	"4-Fluoro-Benzylammonium iodide|4FluoroBenzylammoniumIodide|InChI=1S/C7H8FN.HI/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H|LCTUISCIGMWMAT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Fluoro-Phenethylammonium iodide	model	TRUE	"4-Fluoro-Phenethylammonium iodide|4FluoroPhenethylammoniumIodide|InChI=1S/C8H10FN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H|NOHLSFNWSBZSBW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Fluoro-Phenylammonium iodide	model	TRUE	"4-Fluoro-Phenylammonium iodide|4FluoroPhenylammoniumIodide|InChI=1S/C6H6FN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H|FJFIJIDZQADKEE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Methoxy-Phenylammonium iodide	model	TRUE	"4-Methoxy-Phenylammonium iodide|4MethoxyPhenylammoniumIodide|InChI=1S/C7H9NO.HI/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H|QRFXELVDJSDWHX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Trifluoromethyl-Benzylammonium iodide	model	TRUE	"4-Trifluoromethyl-Benzylammonium iodide|4TrifluoromethylBenzylammoniumIodide|InChI=1S/C8H8F3N.HI/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H|SQXJHWOXNLTOOO-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
