material_composite_description	material_component_description	addressable
Plate: 24 well	Plate well#: A1	TRUE
Plate: 24 well	Plate well#: A2	TRUE
Plate: 24 well	Plate well#: A3	TRUE
Plate: 24 well	Plate well#: A4	TRUE
Plate: 24 well	Plate well#: A5	TRUE
Plate: 24 well	Plate well#: A6	TRUE
Plate: 24 well	Plate well#: B1	TRUE
Plate: 24 well	Plate well#: B2	TRUE
Plate: 24 well	Plate well#: B3	TRUE
Plate: 24 well	Plate well#: B4	TRUE
Plate: 24 well	Plate well#: B5	TRUE
Plate: 24 well	Plate well#: B6	TRUE
Plate: 24 well	Plate well#: C1	TRUE
Plate: 24 well	Plate well#: C2	TRUE
Plate: 24 well	Plate well#: C3	TRUE
Plate: 24 well	Plate well#: C4	TRUE
Plate: 24 well	Plate well#: C5	TRUE
Plate: 24 well	Plate well#: C6	TRUE
Plate: 24 well	Plate well#: D1	TRUE
Plate: 24 well	Plate well#: D2	TRUE
Plate: 24 well	Plate well#: D3	TRUE
Plate: 24 well	Plate well#: D4	TRUE
Plate: 24 well	Plate well#: D5	TRUE
Plate: 24 well	Plate well#: D6	TRUE
Filter Plate: 48 Well	Filter Plate well#: A1	TRUE
Filter Plate: 48 Well	Filter Plate well#: A2	TRUE
Filter Plate: 48 Well	Filter Plate well#: A3	TRUE
Filter Plate: 48 Well	Filter Plate well#: A4	TRUE
Filter Plate: 48 Well	Filter Plate well#: A5	TRUE
Filter Plate: 48 Well	Filter Plate well#: A6	TRUE
Filter Plate: 48 Well	Filter Plate well#: A7	TRUE
Filter Plate: 48 Well	Filter Plate well#: A8	TRUE
Filter Plate: 48 Well	Filter Plate well#: B1	TRUE
Filter Plate: 48 Well	Filter Plate well#: B2	TRUE
Filter Plate: 48 Well	Filter Plate well#: B3	TRUE
Filter Plate: 48 Well	Filter Plate well#: B4	TRUE
Filter Plate: 48 Well	Filter Plate well#: B5	TRUE
Filter Plate: 48 Well	Filter Plate well#: B6	TRUE
