material_uuid	description	consumable	material_class	actor_uuid	status_uuid	add_date	mod_date
00ed3bbd-7631-4b88-a094-4787a4ac6fe0	Plate: 24 well	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.355205+00	2021-04-19 02:07:14.828677+00
9c4312e0-81b3-4329-bd57-9966e69718ad	Filter Plate: 48 Well	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.35706+00	2021-04-19 02:07:14.828677+00
c4c9a3fe-72cd-4f84-8d0d-ff5b38221902	Plate well	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.358906+00	2021-04-19 02:07:14.828677+00
6b6a9b8f-4f4b-4383-abac-fceabac4930d	Plate well#: A1	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
4a32786e-4345-4122-9b6a-776024194e42	Plate well#: A2	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
abd2864e-145b-4b0e-b60e-cd611a017541	Plate well#: A3	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
80a573e4-a939-407d-8375-ac8b768d87ce	Plate well#: A4	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
a087a055-204f-4ec1-b16c-ab3e4b62911d	Plate well#: A5	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
707f875c-85fe-4b40-bd24-5ed7cc43c867	Plate well#: A6	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
de83276f-8ce7-478a-a9ad-dde9c385b51c	Plate well#: B1	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
3258c2be-83aa-45fd-bfab-e79f003b2f51	Plate well#: B2	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
889f8d31-2baf-405b-a205-be3fd149970b	Plate well#: B3	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
40eaa433-787d-477e-8f8d-a50834fd1f49	Plate well#: B4	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
52299356-b387-40dc-8b31-364260f2a771	Plate well#: B5	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
5098e6cd-f4df-4554-988b-8ffb85a11b94	Plate well#: B6	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
96d229b7-5b7a-4aa9-b7c0-a4dbb0b3a968	Plate well#: C1	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
d15fc1c8-f893-44dc-a90e-edb94a6de92a	Plate well#: C2	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
f8de3eba-ff5a-4232-a09a-336f8cd899de	Plate well#: C3	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
b19e00b6-f1ec-4c6d-8581-709b3bfca375	Plate well#: C4	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
bd5d5cdf-96fb-4465-8d6b-d4a505686388	Plate well#: C5	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
fe1f516f-873e-4eca-b6b9-9e012d12f902	Plate well#: C6	f	model	c8c5d2a7-351e-4980-9b1a-9b491a1ec4ae		2021-04-19 02:07:12.3699+00	2021-04-19 02:07:14.828677+00
